row_id,client_ip,datetime,method,request,status_code,size,user_agent,referer_present(YorN)
0,54.36.149.41,01/22/2019 03:56:14,GET,"/filter/27|13%20%D9%85%DA%AF%D8%A7%D9%BE%DB%8C%DA%A9%D8%B3%D9%84,27|%DA%A9%D9%85%D8%AA%D8%B1%20%D8%A7%D8%B2%205%20%D9%85%DA%AF%D8%A7%D9%BE%DB%8C%DA%A9%D8%B3%D9%84,p53",200,30577,Mozilla/5.0 (compatible; AhrefsBot/6.1; +http://ahrefs.com/robot/),N
1,31.56.96.51,01/22/2019 03:56:16,GET,/image/60844/productModel/200x200,200,5667,"Mozilla/5.0 (Linux; Android 6.0; ALE-L21 Build/HuaweiALE-L21) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.158 Mobile Safari/537.36",Y
2,31.56.96.51,01/22/2019 03:56:16,GET,/image/61474/productModel/200x200,200,5379,"Mozilla/5.0 (Linux; Android 6.0; ALE-L21 Build/HuaweiALE-L21) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.158 Mobile Safari/537.36",Y
3,40.77.167.129,01/22/2019 03:56:17,GET,/image/14925/productModel/100x100,200,1696,Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm),N
4,91.99.72.15,01/22/2019 03:56:17,GET,/product/31893/62100/%D8%B3%D8%B4%D9%88%D8%A7%D8%B1-%D8%AE%D8%A7%D9%86%DA%AF%DB%8C-%D9%BE%D8%B1%D9%86%D8%B3%D9%84%DB%8C-%D9%85%D8%AF%D9%84-PR257AT,200,41483,Mozilla/5.0 (Windows NT 6.2; Win64; x64; rv:16.0)Gecko/16.0 Firefox/16.0,N
5,40.77.167.129,01/22/2019 03:56:17,GET,/image/23488/productModel/150x150,200,2654,Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm),N
6,40.77.167.129,01/22/2019 03:56:18,GET,/image/45437/productModel/150x150,200,3688,Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm),N
7,40.77.167.129,01/22/2019 03:56:18,GET,/image/576/article/100x100,200,14776,Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm),N
8,66.249.66.194,01/22/2019 03:56:18,GET,"/filter/b41,b665,c150%7C%D8%A8%D8%AE%D8%A7%D8%B1%D9%BE%D8%B2,p56",200,34277,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),N
9,40.77.167.129,01/22/2019 03:56:18,GET,/image/57710/productModel/100x100,200,1695,Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm),N
10,207.46.13.136,01/22/2019 03:56:18,GET,/product/10214,200,39677,Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm),N
11,40.77.167.129,01/22/2019 03:56:19,GET,/image/578/article/100x100,200,9831,Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm),N
12,178.253.33.51,01/22/2019 03:56:19,GET,/m/product/32574/62991/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D8%A7%D8%B5%D9%84%D8%A7%D8%AD-%D8%B5%D9%88%D8%B1%D8%AA-%D9%BE%D8%B1%D9%86%D8%B3%D9%84%DB%8C-%D9%85%D8%AF%D9%84-PR465AT,200,20406,"Mozilla/5.0 (Linux; Android 5.1; HTC Desire 728 dual sim) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.83 Mobile Safari/537.36",Y
13,40.77.167.129,01/22/2019 03:56:19,GET,/image/6229/productModel/100x100,200,1796,Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm),N
14,91.99.72.15,01/22/2019 03:56:19,GET,/product/10075/13903/%D9%85%D8%A7%DB%8C%DA%A9%D8%B1%D9%88%D9%81%D8%B1-%D8%B1%D9%88%D9%85%DB%8C%D8%B2%DB%8C-%D8%B3%D8%A7%D9%85%D8%B3%D9%88%D9%86%DA%AF-%D9%85%D8%AF%D9%84-CE288,200,41725,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.92 Safari/537.36",N
15,40.77.167.129,01/22/2019 03:56:19,GET,/image/6229/productModel/150x150,200,2739,Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm),N
16,207.46.13.136,01/22/2019 03:56:19,GET,/product/14926,404,33617,Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm),N
17,40.77.167.129,01/22/2019 03:56:19,GET,/image/6248/productModel/150x150,200,2788,Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm),N
18,40.77.167.129,01/22/2019 03:56:20,GET,/image/64815/productModel/150x150,200,3481,Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm),N
