row_id,day_hour,no_of_clients,no_get,no_post,no_head
0,01/22/2019 03,46,188,11,4
1,01/22/2019 04,46,81,88,90
2,01/22/2019 05,46,84,79,94
3,01/22/2019 06,46,90,74,88
4,01/22/2019 07,46,81,83,84
5,01/22/2019 08,46,84,89,82
6,01/22/2019 09,46,80,90,82
7,01/22/2019 10,46,86,85,85
8,01/22/2019 11,46,80,85,81
9,01/22/2019 12,46,77,90,78
10,01/22/2019 13,46,78,99,74
11,01/22/2019 14,46,93,79,83
12,01/22/2019 15,46,84,79,88
13,01/22/2019 16,46,85,75,93
14,01/22/2019 17,46,85,88,77
15,01/22/2019 18,46,92,89,71
16,01/22/2019 19,46,83,84,88
17,01/22/2019 20,46,90,82,83
18,01/22/2019 21,46,86,95,74
19,01/22/2019 22,46,77,96,84
20,01/22/2019 23,46,84,82,84
21,01/23/2019 00,46,94,68,88
22,01/23/2019 01,46,90,78,83
23,01/23/2019 02,46,80,84,88
24,01/23/2019 03,46,82,79,85
25,01/23/2019 04,46,80,82,87
26,01/23/2019 05,46,86,82,86
27,01/23/2019 06,46,90,83,74
28,01/23/2019 07,46,88,81,83
29,01/23/2019 08,46,87,84,84
30,01/23/2019 09,46,85,77,89
31,01/23/2019 10,46,81,74,92
32,01/23/2019 11,46,93,87,71
33,01/23/2019 12,46,87,81,79
34,01/23/2019 13,46,89,79,88
35,01/23/2019 14,46,68,98,86
36,01/23/2019 15,46,75,95,83
37,01/23/2019 16,46,99,70,83
38,01/23/2019 17,46,84,80,87
39,01/23/2019 18,46,75,85,88
40,01/23/2019 19,46,86,86,81
41,01/23/2019 20,46,88,82,82
42,01/23/2019 21,46,92,88,79
43,01/23/2019 22,46,86,98,71
44,01/23/2019 23,46,94,83,73
45,01/24/2019 00,46,83,85,80
46,01/24/2019 01,46,93,73,83
47,01/24/2019 02,46,86,90,72
48,01/24/2019 03,46,87,93,74
49,01/24/2019 04,46,98,73,80
50,01/24/2019 05,46,76,92,82
51,01/24/2019 06,46,70,96,85
52,01/24/2019 07,46,79,90,84
53,01/24/2019 08,46,92,82,80
54,01/24/2019 09,46,89,85,82
55,01/24/2019 10,46,90,82,79
56,01/24/2019 11,46,91,80,76
57,01/24/2019 12,46,93,75,86
58,01/24/2019 13,46,79,83,89
59,01/24/2019 14,46,79,83,92
60,01/24/2019 15,46,83,86,85
61,01/24/2019 16,46,78,87,88
62,01/24/2019 17,46,90,84,77
63,01/24/2019 18,46,90,80,82
64,01/24/2019 19,46,82,86,87
65,01/24/2019 20,46,87,73,89
66,01/24/2019 21,46,86,81,85
67,01/24/2019 22,46,88,81,81
68,01/24/2019 23,46,88,75,85
69,01/25/2019 00,45,77,85,89
70,01/25/2019 01,45,85,87,81
71,01/25/2019 02,45,78,90,77
72,01/25/2019 03,45,90,86,75
73,01/25/2019 04,45,90,80,77
74,01/25/2019 05,45,80,91,81
75,01/25/2019 06,44,84,74,83
76,01/25/2019 07,44,74,70,89
77,01/25/2019 08,44,87,79,73
78,01/25/2019 09,44,83,69,84
79,01/25/2019 10,44,70,84,82
80,01/25/2019 11,44,68,86,84
81,01/25/2019 12,44,81,92,58
82,01/25/2019 13,42,76,80,75
83,01/25/2019 14,41,74,65,73
84,01/25/2019 15,41,64,71,79
85,01/25/2019 16,41,68,69,72
86,01/25/2019 17,40,68,65,69
87,01/25/2019 18,37,66,64,64
88,01/25/2019 19,37,63,61,56
89,01/25/2019 20,35,65,42,60
90,01/25/2019 21,32,47,54,48
91,01/25/2019 22,31,46,50,46
92,01/25/2019 23,31,48,43,45
93,01/26/2019 00,31,35,50,35
94,01/26/2019 01,28,35,40,32
95,01/26/2019 02,28,34,36,28
96,01/26/2019 03,28,28,34,31
97,01/26/2019 04,26,31,20,30
98,01/26/2019 05,23,25,22,21
99,01/26/2019 06,23,26,15,23
100,01/26/2019 07,18,13,14,25
101,01/26/2019 08,17,17,13,14
102,01/26/2019 09,15,12,14,10
103,01/26/2019 10,15,4,14,12
104,01/26/2019 11,13,7,12,4
105,01/26/2019 12,13,8,4,9
106,01/26/2019 13,11,9,6,3
107,01/26/2019 14,8,4,3,5
108,01/26/2019 15,6,3,4,2
109,01/26/2019 16,5,0,3,5
110,01/26/2019 17,4,0,2,3
111,01/26/2019 18,2,1,1,1
112,01/26/2019 19,1,0,1,0
