row_id,day_hour,client_ip,no_get,no_post,no_head
0,01/22/2019 03,66.111.54.249,8,0,0
1,01/22/2019 03,2.177.12.140,9,0,0
2,01/22/2019 03,46.224.77.32,2,0,0
3,01/22/2019 03,178.253.33.51,5,0,0
4,01/22/2019 03,54.36.148.87,1,0,0
5,01/22/2019 03,207.46.13.104,6,0,0
6,01/22/2019 03,54.36.149.35,1,0,0
7,01/22/2019 03,54.36.148.18,1,0,0
8,01/22/2019 03,2.179.141.98,3,3,0
9,01/22/2019 03,2.185.221.79,1,0,0
10,01/22/2019 03,51.15.15.54,1,0,0
11,01/22/2019 03,5.62.206.249,1,0,0
12,01/22/2019 03,17.58.102.43,3,0,0
13,01/22/2019 03,204.18.198.248,7,0,0
14,01/22/2019 03,54.36.148.32,1,0,0
15,01/22/2019 03,157.55.39.245,3,0,0
16,01/22/2019 03,207.46.13.136,10,0,0
17,01/22/2019 03,66.249.66.194,24,0,0
18,01/22/2019 03,54.36.149.17,1,0,0
19,01/22/2019 03,54.36.148.232,1,0,0
20,01/22/2019 03,54.36.148.117,1,0,0
21,01/22/2019 03,40.77.167.129,4,0,0
22,01/22/2019 03,66.249.66.91,17,0,0
23,01/22/2019 03,34.247.132.53,1,0,0
24,01/22/2019 03,31.56.96.51,8,0,0
25,01/22/2019 03,54.36.148.17,1,0,0
26,01/22/2019 03,5.78.198.52,4,8,0
27,01/22/2019 03,66.249.64.66,1,0,0
28,01/22/2019 03,207.46.13.115,4,0,0
29,01/22/2019 03,172.20.2.174,1,0,0
30,01/22/2019 03,5.160.157.20,1,0,0
31,01/22/2019 03,54.36.149.92,1,0,0
32,01/22/2019 03,5.78.180.75,1,0,0
33,01/22/2019 03,89.199.193.251,1,0,0
34,01/22/2019 03,91.99.72.15,16,0,0
35,01/22/2019 03,54.36.148.10,1,0,0
36,01/22/2019 03,54.36.148.161,1,0,0
37,01/22/2019 03,173.249.54.67,5,0,0
38,01/22/2019 03,54.36.149.58,1,0,0
39,01/22/2019 03,54.36.149.63,1,0,0
40,01/22/2019 03,104.194.24.33,1,0,0
41,01/22/2019 03,5.209.200.218,6,0,0
42,01/22/2019 03,54.36.149.41,1,0,0
43,01/22/2019 03,5.211.97.39,11,0,4
44,01/22/2019 03,5.112.52.254,1,0,0
45,01/22/2019 04,5.211.97.40,12,12,12
